Category,Location,Category Encoded,Lat,Long,Open hours,Price Level,Lat_rad,Long_rad,Min Dist to next,cluster,place_id
Must-See Sights,Via del Corso (Shopping Street),0,41.90176599999999,12.48049,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM']",2.0,0.7313237791002141,0.2178256427622271,251.34828880166947,0,ChIJ429UulNgLxMR-ghEUP9fbcg
Must-See Sights,Testaccio neighborhood,0,41.8784219,12.4738871,[],0.0,0.7309163476942995,0.21771040041704717,272.8841920069366,1,ChIJQ__UrS9gLxMRDZ02pmiRj6E
Must-See Sights,The Mouth of Truth (Bocca della Verità),0,41.88829399999999,12.4815631,"['Monday: 9:30\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20095:50\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20095:50\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20095:50\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20095:50\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20095:50\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20095:50\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20091:00\u202fPM, 2:00\u2009–\u20095:50\u202fPM']",0.0,0.7310886483433854,0.21784437189043027,307.8007114823685,5,ChIJm1_ZezVgLxMR57Hw653cZoI
Must-See Sights,Pyramid of Cestius,0,41.876489,12.4808979,[],0.0,0.7308826122251877,0.21783276196024598,365.1269349471976,1,ChIJfeOXqi1gLxMR9pvLiJ8yKSc
Churches,Basilica of San Clemente al Laterano,1,41.8893347,12.4975757,"['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20095:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20095:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20095:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20095:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20095:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20095:30\u202fPM', 'Sunday: 12:00\u2009–\u20095:30\u202fPM']",0.0,0.7311068119849111,0.2181238444822351,194.32517566083095,3,ChIJ6V1-TbhhLxMRUbEhbeY44Zc
Churches,Santa Maria Maggiore,1,41.89759859999999,12.4984084,[],0.0,0.7312510442489665,0.21813837783891646,129.0570785566251,3,ChIJ1zB926RhLxMRejWMj_tUs_c
Churches,Santa Maria in Trastevere,1,41.8894657,12.4696635,"['Monday: 7:30\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20098:00\u202fPM']",0.0,0.7311090983662313,0.21763668469075992,124.11318950469294,2,ChIJs_RYejhgLxMRIkBM8PNSZzY
Churches,San Carlo alle Quattro Fontane,1,41.901732,12.490575,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20091:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']",0.0,0.7313231856882687,0.21800165921729073,184.40409300630427,0,ChIJJdz7sK5hLxMRqBCQGj4L6u4
Churches,Santa Maria della Vittoria,1,41.9046449,12.4942942,"['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 3:30\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 3:30\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 3:30\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 3:30\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 3:30\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 3:30\u2009–\u20096:00\u202fPM', 'Sunday: 3:30\u2009–\u20096:00\u202fPM']",0.0,0.7313740253840499,0.2180665715028309,309.42805236047235,3,ChIJVbqwYKhhLxMRSAkyf1K0z1k
Churches,Santa Prassede,1,41.89646219999999,12.4987254,"['Monday: 10:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u20096:00\u202fPM', 'Sunday: 10:00\u2009–\u200911:00\u202fAM, 4:00\u2009–\u20096:00\u202fPM']",0.0,0.7312312103273468,0.21814391053264526,129.0570785566251,3,ChIJqfIiLbthLxMRlfAZLBtfCl8
